Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,Block,synonym.1,answer,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,reference-term-source.1,reference-term-code.1,reference-term-relationship.1,reference-term-source.2,reference-term-code.2,reference-term-relationship.2,reference-term-source.3,reference-term-code.3,reference-term-relationship.3,reference-term-source.4,reference-term-code.4,reference-term-relationship.4,reference-term-source.5,reference-term-code.5,reference-term-relationship.5,reference-term-source.6,reference-term-code.6,reference-term-relationship.6
ADLA,Warmth?,Misc,Coded,,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLA,Erythema,Diagnosis,Coded,,,,,,,Erythematous Condition,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,CIEL,118526,SAME-AS,SNOMED,86735004,SAME-AS,ICD-10-WHO,L53.9,SAME-AS,CIEL,118526,NARROWER-THAN,,,,,,
ADLA,Tenderness,Diagnosis,Coded,,,,,,,Skin Tenderness,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,CIEL,126384,SAME-AS,SNOMED,278999000,SAME-AS,,,,,,,,,,,,
ADLA,Affected limb?,Misc,Coded,,,,,,,,"Right-Limb,Left-Limb,Both limbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7 Dermatological Examination,Misc,Block,,,,,,"General Dermatological Exam,ADLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated complaints and prescribed medication,Associated complaints,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associated complaints and prescribed medication,Medication,Misc,Text,,,,,,,MEDICATION ORDERS,,,,,,,,,,,,,CIEL,1282,SAME-AS,AMPATH,1282,SAME-AS,,,,,,,,,,,,
Associated complaints and prescribed medication,Prescribing doctor / health center,Misc,Text,,,,,,,HEALTH CENTER HOSPITAL,,,,,,,,,,,,,CIEL,1275,SAME-AS,SNOMED MVP,1.28E+13,SAME-AS,AMPATH,1275,SAME-AS,SNOMED NP,22232009,NARROWER-THAN,,,,,,
,3.8 Associated diseases and current medication,Misc,Block,,,,,,Associated complaints and prescribed medication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruksha(Xerosis),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bahushopha pada(Dependant oedema of foot),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sphutana,Diagnosis,Boolean,,,,,,,Fissure in Skin,Fissure in Skin,,,,,,,,,,,,CIEL,140104,SAME-AS,SNOMED,95321009,SAME-AS,,,,,,,,,,,,
,Krishna - Hyperpigmentation of Skin,Diagnosis,Boolean,,,,,,,Hyperpigmentation of Skin,,,,,,,,,,,,,CIEL,138235,SAME-AS,SNOMED,49765009,,,,,,,,,,,,,
,Theevra Thoda or Arti or Animitta rujam(Pricking pain),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bahusho jwara(History of fever),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vataja type - Right,Misc,Block,,,,,,"Ruksha(Xerosis),Bahushopha pada(Dependant oedema of foot),Sphutana(Fissures),Krishna(Black pigmentation),Theevra Thoda or Arti or Animitta rujam(Pricking pain),Bahusho jwara(History of fever)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vataja type - Left,Misc,Block,,,,,,"Ruksha(Xerosis),Bahushopha pada(Dependant oedema of foot),Sphutana(Fissures),Krishna(Black pigmentation),Theevra Thoda or Arti or Animitta rujam(Pricking pain),Bahusho jwara(History of fever)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vataja Table,Misc,Block,,,,,,"Vataja type - Right,Vataja type - Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daha(Burning Sensation),Symptom,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raktavarna(Redness),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peetha varna(Yellow discolouration) ,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsrava(Discharge) ,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mrudu(Soft),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gurutwa(Heaviness),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adhika shopha(Largely oedematus),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jwara yukta(Warmth of limb or fever),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pittaja type - Right,Misc,Block,,,,,,"Daha(Burning Sensation),Raktavarna(Redness),Peetha varna(Yellow discolouration),Samsrava(Discharge),Mrudu(Soft),Gurutwa(Heaviness),Adhika shopha(Largely oedematus),Jwara yukta(Warmth of limb or fever)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pittaja type - Left,Misc,Block,,,,,,"Daha(Burning Sensation),Raktavarna(Redness),Peetha varna(Yellow discolouration),Samsrava(Discharge),Mrudu(Soft),Gurutwa(Heaviness),Adhika shopha(Largely oedematus),Jwara yukta(Warmth of limb or fever)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pittaja Table,Misc,Block,,,,,,"Pittaja type - Right,Pittaja type - Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Snigdha Snigdha varna(Oily/Shiny) (oily skin),Diagnosis,Boolean,,,,,,,oily skin,,,,,,,,,,,,,CIEL,153515,SAME-AS,SNOMED,42273000,SAME-AS,,,,,,,,,,,,
,Shwethabha(Whitish),Misc,Boolean,,,,,,,PALENESS,,,,,,,,,,,,,CIEL,5245,SAME-AS,SNOMED,398979000,SAME-AS,AMPATH,5245,SAME-AS,CIEL,1119,SAME-AS,,,,,,
,Drudham/Sthiram(Organised),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bahukanatakai parivrtam(With Nodules/warty growth),Diagnosis,Boolean,,,,,,,Skin nodule,,,,,,,,,,,,,CIEL,126395,SAME-AS,SNOMED,95319004,SAME-AS,,,,,,,,,,,,
,Sthoola(Huge in size),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guru Gurutwamanisham(Feeling Of Heaviness),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheethanvitha(Cold to Touch),Symptoms_or_Finding,Boolean,,,,,,,SKIN COLD TO TOUCH,,,,,,,,,,,,,CIEL,1887,SAME-AS,SNOMED,71200009,SAME-AS,CIEL,1866,SAME-AS,,,,,,,,,
,Adhika shopha(Largely edematous),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaphaja type - Right,Misc,Block,,,,,,"Snigdha Snigdha varna(Oily/Shiny),Shwethabha(Whitish),Drudham/Sthiram(Organised),Bahukanatakai parivrtam(With Nodules/warty growth),Sthoola(Huge in size),Guru Gurutwamanisham(Feeling Of Heaviness),Sheethanvitha(Cold to Touch),Adhika shopha(Largely edematous)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaphaja type - Left,Misc,Block,,,,,,"Snigdha Snigdha varna(Oily/Shiny),Shwethabha(Whitish),Drudham/Sthiram(Organised),Bahukanatakai parivrtam(With Nodules/warty growth),Sthoola(Huge in size),Guru Gurutwamanisham(Feeling Of Heaviness),Sheethanvitha(Cold to Touch),Adhika shopha(Largely edematous)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaphaja Table,Misc,Block,,,,,,"Kaphaja type - Right,Kaphaja type - Left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dominant Dosha(V,P,K,VP,PK,VK,VPK,PV,KP,KV) ",Misc,Coded,,,,,,,,"VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sthaneeya vikruthi - as in Hamsaraj and Madhava Nidhana - clinical methods,Misc,Block,,,,,,"Vataja Table,Pittaja Table,Kaphaja Table",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prakruthi,Misc,Coded,,,,,,,,"VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sthaneeya Vikruthi,Misc,Coded,,,,,,,,"VATAJA,PITTAJA,KAPHAJA,VATAJAPITTAJA,PITTAJAKAPHAJA,VATAJAKAPHAJA,VATAJAPITTAJAKAPHAJA,PITTAJAVATAJA,KAPHAJAPITTAJA,KAPHAJAVATAJA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection of phanta for skin care,Churna used,Misc,Coded,,,,,,,,"Manjista,Sariva,Yastimadhu,Triphala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection of phanta for skin care,Quantity,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selection of oil for IMLD,Misc,Coded,,,,,,,,"Pinda thaila,Nalpamaradhi thaila,Sarshapa thaila,Chandanadi thaila,Lakshadi thaila,Eladi thaila,Other thaila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any deviations from routine treatments with reasons,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ekanga Swedana (with comments),Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug used in swedana and quantity,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ingredient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any other specific treatments?,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activities for Ayurvedic consultant,Misc,Block,,,,,,"Prakruthi,Sthaneeya Vikruthi,Selection of phanta for skin care,Selection of oil for IMLD,Any deviations from routine treatments with reasons,Ekanga Swedana (with comments),Drug used in swedana and quantity,Ingredient,Any other specific treatments?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medical Team,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9 Vikriti Pareeksha,Misc,Block,,,,,,"Sthaneeya vikruthi - as in Hamsaraj and Madhava Nidhana - clinical methods,Activities for Ayurvedic consultant,Medical Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part 3. Patient Examination,Misc,Block,,,,,,"3.1 History of present illness,3.2 Physical Examination at baseline,3.3 Photo documentation,3.4 Baseline Investigations,3.5 Limb Circumferential measurements template,3.6 Assessment of Lymphoedema,3.7 Dermatological Examination,3.8 Associated diseases and current medication,3.9 Vikriti Pareeksha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extension,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abduction,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Int Rotation,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ext Rotation,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right-Hip Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left-Hip Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment of ROM Table - HIP,Misc,Block,,,,,,"Right-Hip Assessment,Left-Hip Assessment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right-Knee Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left-Knee Assessment,Misc,Block,,,,,,"Flexion,Extension,Abduction,Int Rotation,Ext Rotation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment of ROM Table - KNEE,Misc,Block,,,,,,"Right-Knee Assessment,Left-Knee Assessment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plantar Flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dorsi Flexion,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right-ANKLE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left-ANKLE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment of ROM Table - ANKLE,Misc,Block,,,,,,"Right-ANKLE,Left-ANKLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right-TOE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left-TOE,Misc,Block,,,,,,"Plantar Flexion,Dorsi Flexion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment of ROM Table - TOE,Misc,Block,,,,,,"Right-TOE,Left-TOE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment of ROM,Misc,Block,,,,,,"Assessment of ROM Table - HIP,Assessment of ROM Table - KNEE,Assessment of ROM Table - ANKLE,Assessment of ROM Table - TOE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compensatory Movements,Misc,Coded,,,,,,,,"Present,Absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shifting of weight,Misc,Coded,,,,,,,,"Present,Absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial contact,Misc,Coded,,,,,,,,"Present,Absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push off,Misc,Coded,,,,,,,,"Present,Absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shift of COG,Misc,Coded,,,,,,,,"Anterior,Posterior,No change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arm Swing,Misc,Coded,,,,,,,,"Present,Absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right-Side Movements,Misc,Block,,,,,,"Compensatory Movements,Shifting of weight,Initial contact,Push off,Shift of COG,Arm Swing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left-Side Movements,Misc,Block,,,,,,"Compensatory Movements,Shifting of weight,Initial contact,Push off,Shift of COG,Arm Swing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Movements Table,Misc,Block,,,,,,"Right-Side Movements,Left-Side Movements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.1 Range of motion(ROM) of joints active,Misc,Block,,,,,,"Assessment of ROM,Right-Side Movements,Left-Side Movements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder Alignment,Misc,Coded,,,,,,,,"Normal,Right side lower,Left side lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Level of pinna of Ear,Misc,Coded,,,,,,,,"Same level,Right pinna lower,Left pinna lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waist Angle,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alignment of PSIS/ASIS,Misc,Coded,,,,,,,,"In level,Not in level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scoliois,diagnosis,Coded,,,,,,,,"Concave to left,Convex to right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary curve,Misc,Coded,,,,,,,,"Present,Absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Secondary curve,Misc,Coded,,,,,,,,"Present,Absent,Cervical region,Lumbar region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pelvic tilt,Misc,Coded,,,,,,,,"Present,Absent,Anterior,Lateral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Right-Side Posture,Misc,Block,,,,,,"Shoulder Alignment,Level of pinna of Ear,Waist Angle,Alignment of PSIS/ASIS,Scoliois,Primary curve,Secondary curve,Pelvic tilt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Left-Side Posture,Misc,Block,,,,,,"Shoulder Alignment,Level of pinna of Ear,Waist Angle,Alignment of PSIS/ASIS,Scoliois,Primary curve,Secondary curve,Pelvic tilt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Posture Analysis Table,Misc,Block,,,,,,"Right-Side Posture,Left-Side Posture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.2 Posture Analysis,Misc,Block,,,,,,Posture Analysis Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gait Change Examination,Misc,Coded,,,,,,,,"Baseline,Followup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bunion - Affected limb,diagnosis,Coded,,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,37075,,,,,,,,,,,,,,,,
,Tailor's Bunion,diagnosis,Coded,,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,19038,,,,,,,,,,,,,,,,
,Hammertoe deformity - Affected Limb,diagnosis,Coded,,,,,,,Hammer Toe,"Right-Foot,Left-Foot",,,,,,,,,,,,CIEL,117708,SAME-AS,SNOMED,45636002,SAME-AS,ICD-10-WHO,M20.4,SAME-AS,,,,,,,,,
,Flat Foot - Affected Limb,Misc,Coded,,,,,,,Acquired Flexible Flat Foot,"Right-Foot,Left-Foot",,,,,,,,,,,,CIEL,150048,SAME-AS,SNOMED,44480001,SAME-AS,,,,,,,,,,,,
,Hyperextension of toe (Hitchhiker's Toe) - Affected Limb,Misc,Coded,,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pronated foot - Affected Limb,diagnosis,Coded,,,,,,,Pronation of Foot,"Right-Foot,Left-Foot",,,,,,,,,,,,CIEL,128374,SAME-AS,SNOMED,10951003,SAME-AS,,,,,,,,,,,,
,Genu valgum - Affected Limb,diagnosis,Coded,,,,,,,Acquired Genu Valgum and Varum,"Right-Knee,Left-Knee",,,,,,,,,,,,CIEL,150044,SAME-AS,SNOMED,203564001,SAME-AS,ICD-10-WHO NP,M21.1,BROADER-THAN,CIEL,150044,BROADER-THAN,,,,,,
,Flexion contracture of knee - Affected Limb,diagnosis,Coded,,,,,,,Knee Contracture,"Right-Knee,Left-Knee",,,,,,,,,,,,CIEL,110333,SAME-AS,SNOMED,239739005,SAME-AS,,,,,,,,,,,,
,Excessive knee extension - Affected Limb,diagnosis,Coded,,,,,,,Acquired Genu Recurvatum,"Right-Knee,Left-Knee",,,,,,,,,,,,CIEL,150046,SAME-AS,SNOMED,46101007,SAME-AS,,,,,,,,,,,,
,Baker's cyst - Affected Limb,diagnosis,Coded,,,,,,,Synovial cyst of popliteal space,"Right-Knee,Left-Knee",,,,,,,,,,,,CIEL,12514,SAME-AS,SNOMED,82675004,SAME-AS,ICD-10-WHO,M71.20,SAME-AS,,,,,,,,,
,Outer rotation of hip - Affected Limb,Misc,Coded,,,,,,,,"Right-Hip,Left-Hip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anterior pelvic tilt - Affected Limb,Misc,Coded,,,,,,,,"Right-Hip,Left-Hip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lateral pelvic tilt - Affected Limb,Misc,Coded,,,,,,,,"Right-Hip,Left-Hip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Affected Limb,Misc,Block,,,,,,"Tailor's Bunion - Affected Limb,Hammertoe deformity - Affected Limb,Flat Foot - Affected Limb,Hyperextension of toe (Hitchhiker's Toe) - Affected Limb,Pronated foot - Affected Limb,Genu valgum - Affected Limb,Flexion contracture of knee - Affected Limb,Excessive knee extension - Affected Limb,Baker's cyst - Affected Limb,Outer rotation of hip - Affected Limb,Anterior pelvic tilt - Affected Limb,Lateral pelvic tilt - Affected Limb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bunion - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tailor's Bunion - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hammertoe deformity - Affected Limb,Misc,Coded,,,,,,,,"Right-Foot,Left-Foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flat Foot - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyperextension of toe (Hitchhiker's Toe) - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pronated foot - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genu valgum - Duration,diagnosis,Coded,,,,,,,Acquired Genu Valgum and Varum,"Right-Knee,Left-Knee",,,,,,,,,,,,CIEL,150044,SAME-AS,SNOMED,203564001,SAME-AS,ICD-10-WHO NP,M21.1,BROADER-THAN,CIEL,150044,BROADER-THAN,,,,,,
,Flexion contracture of knee - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excessive knee extension - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baker's cyst - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outer rotation of hip - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anterior pelvic tilt - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lateral pelvic tilt - Duration,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration (months),Misc,Block,,,,,,"Tailor's Bunion - Duration,Hammertoe deformity - Duration,Flat Foot - Duration,Hyperextension of toe (Hitchhiker's Toe) - Duration,Pronated foot - Duration,Genu valgum - Duration,Flexion contracture of knee - Duration,Excessive knee extension - Duration,Baker's cyst - Duration,Outer rotation of hip - Duration,Anterior pelvic tilt - Duration,Lateral pelvic tilt - Duration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Improper Gait Examination Table,Misc,Block,,,,,,"Affected Limb,Duration (months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corn/callus formation,diagnosis,Text,,,,,,,Corns and Callus,,,,,,,,,,,,,CIEL,143336,SAME-AS,SNOMED,201037000,SAME-AS,,,,,,,,,,,,
,Change in Sole,Misc,Block,,,,,,,Corn/callus formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recommended exercises,Misc,Text,,,,,,,Exercise,,,,,,,,,,,,,,1793,,,,,,,,,,,,,,,,
,4.3 Structural changes due to improper gait,Misc,Block,,,,,,"Gait Change Examination,Improper Gait Examination Table,Change in Sole",,,,,,,,,,,,,,,15453,,,,,,,,,,,,,,,,
,Part 4. Locomotor changes,Misc,Block,,,,,,"4.1 Range of motion(ROM) of joints active,4.2 Posture Analysis,4.3 Structural changes due to improper gait",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Removing/Training/monitoring the care of bandages,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Hair parrying /nail Parrying,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Soap for skin wash,Misc,Text,,,,,,,Soap,,,,,,,,,,,,,CIEL,160263,SAME-AS,SNOMED,25780000,SAME-AS,CIEL,160262,SAME-AS,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Skin wash with soap and water. Which soap?,Misc,Boolean,,,,,,,Soap,,,,,,,,,,,,,CIEL,160263,SAME-AS,SNOMED,25780000,SAME-AS,CIEL,160262,SAME-AS,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Ringer lactate spray,Drug,Boolean,,,,,,,Rl Ringers Lactate,,,,,,,,,,,,,,1681,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Soaking in warm phanta,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Drying of inter Digital clefts with Cotton cloth/dryer,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Drying of Folds with Cotton Pad,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Application of cream,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Preparation of swedana,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Training the bystander,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1 Activities of Multipurpose Health Worker,Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2 Phanta preparation,Name of phanta,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2 Phanta preparation,Measure,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2 Phanta preparation,Preparation of phanta,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2 Phanta preparation,Reviewer,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogic breathing,Drusthi,Misc,Coded,,,,,,,,"Day 1,Day 2,Day 3,Day 4,Day 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogic breathing,Chinmudra,Misc,Coded,,,,,,,,"Day 1,Day 2,Day 3,Day 4,Day 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogic breathing,Mrugimudra,Misc,Coded,,,,,,,,"Day 1,Day 2,Day 3,Day 4,Day 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogic breathing,Samasthithi,Misc,Coded,,,,,,,,"Day 1,Day 2,Day 3,Day 4,Day 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogic breathing,Sthithi(Final Position),Misc,Coded,,,,,,,,"Day 1,Day 2,Day 3,Day 4,Day 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.3 Activities for yoga therapist,Misc,Block,,,,,,Yogic breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
